origin,destination,length
Cavaillon,Marseille-St-Charles,70
Gardanne,Marseille-St-Charles,36
Aix-en-Provence,Manosque-Gréoux,45
Manosque-Gréoux,Marseille-St-Charles,95
Aubagne,Marseille-St-Charles,31
Aubagne,Marseille-Blancarde,22
Cannes,Menton,69
Antibes,Grasse,41
Cannes,Les Arcs-Draguignan,55
Cannes,St-Raphaël-Valescure,38
Hyères,Marseille-St-Charles,84
Hyères,Toulon,21
Les Arcs-Draguignan,Toulon,60
Carnoules,Toulon,31
Marseille-St-Charles,Menton,205
Ambérieu-en-Bugey,Mâcon-Ville,54
Ambérieu-en-Bugey,Bourg-en-Bresse,23
Bourg-en-Bresse,Mâcon-Ville,29
Chambéry-Chal.-les-Eaux,Moûtiers-Salins-Brides,80
Aix-les-Bains-le-Revard,Bourg-St-Maurice,129
Ambérieu-en-Bugey,Chambéry-Chal.-les-Eaux,73
Chambéry-Chal.-les-Eaux,Grenoble,53
Annecy,St-Gervais-L-B-Le-Fayet,97
Bellegarde-s-V. Gare,La Roche-sur-Foron,65
Grenoble U.-Gières,Valence-Ville,97
Grenoble U.-Gières,St-Marcellin,53
St-Marcellin,Valence-Ville,39
Grenoble,St-Marcellin,40
Grenoble U.-Gières,Rives,43
Grenoble U.-Gières,St-André-le-Gaz,69
Grenoble,St-André-le-Gaz,62
Grenoble,Rives,30
Gap,Grenoble,181
Clelles-Mens,Grenoble,71
Grenoble,Veynes-Dévoluy,134
Chambéry-Chal.-les-Eaux,Rives,90
Lyon-Part-Dieu,Mâcon-Ville,62
Lyon-Perrache,Mâcon-Ville,60
Lyon-Perrache,Valence-Ville,70
Lyon-Part-Dieu,Valence-Ville,71
Mâcon-Ville,Valence-Ville,138
Marseille-St-Charles,Valence-Ville,145
Mâcon-Ville,Pierrelatte,189
Avignon-Centre,Mâcon-Ville,235
Avignon-Centre,Valence-Ville,89
Avignon-Centre,Lyon-Perrache,168
Firminy,Lyon-Perrache,82
Firminy,St-Etienne-Châteaucreux,22
Lyon-Perrache,St-Etienne-Châteaucreux,55
Givors-Ville,Lyon-Perrache,25
Bourg-en-Bresse,Oyonnax,53
Lyon-Perrache,Oyonnax,130
Bourg-en-Bresse,Lyon-Perrache,65
Bourg-en-Bresse,Lyon-Part-Dieu,42
Lyon-Perrache,Roanne,89
Ambérieu-en-Bugey,St-Etienne-Châteaucreux,97
Ambérieu-en-Bugey,Givors-Ville,64
Lyon-Part-Dieu,St-Etienne-Châteaucreux,46
Givors-Ville,Lyon-Part-Dieu,17
Ambérieu-en-Bugey,Lyon-Part-Dieu,41
Roanne,St-Etienne-Châteaucreux,73
Lyon-Perrache,Vienne,34
Vienne,Villefranche-sur-Saône,74
Mâcon-Ville,Vienne,98
Lyon-Perrache,Villefranche-sur-Saône,36
Lyon-Perrache,St-André-le-Gaz,56
Bourgoin-Jallieu,Lyon-Perrache,37
Die,Romans-Bourg-de-Péage,83
Lyon-Perrache,Sathonay-Rillieux,19
Montbrison,St-Etienne-Châteaucreux,40
Boën,St-Etienne-Châteaucreux,53
Le Puy-en-Velay,St-Etienne-Châteaucreux,113
Bas-Monistrol,St-Etienne-Châteaucreux,55
Lyon-St-Paul,Sain-Bel,42
L'Arbresle,Lyon-St-Paul,37
Lozanne,Tassin,25
Brignais,Lyon-St-Paul,25
Laroche-Migennes,Paris-Gare-de-Lyon,125
Montereau,Paris-Gare-de-Lyon,57
Laroche-Migennes,Paris-Bercy,124
Corbigny,Paris-Bercy,213
Corbigny,Paris-Gare-de-Lyon,215
Auxerre-St-Gervais,Paris-Bercy,105
Clamecy,Paris-Bercy,165
Clamecy,Paris-Gare-de-Lyon,159
Avallon,Paris-Bercy,158
Avallon,Paris-Gare-de-Lyon,160
Auxerre-St-Gervais,Paris-Gare-de-Lyon,119
Auxerre-St-Gervais,Dijon-Ville,114
Chalon-sur-Saône,Dijon-Ville,43
Is-sur-Tille,Les Laumes-Alésia,76
Bourg-en-Bresse,Dijon-Ville,102
Chalon-sur-Saône,Mâcon-Ville,39
Corbigny,Laroche-Migennes,113
Dijon-Ville,Montchanin,45
Dijon-Ville,Le Creusot,53
Autun,Dijon-Ville,91
Chalon-sur-Saône,Montchanin,39
Etang,Montchanin,30
Autun,Nevers,94
Montchanin,Paray-le-Monial,43
Decize,Moulins-sur-Allier,75
Cosne-sur-Loire,Nevers,48
Cosne-sur-Loire,Decize,89
Belfort-Ville,Besançon-Viotte,71
Dijon-Ville,Dole-Ville,28
Belfort-Ville,Epinal,92
Belfort-Ville,Montbéliard-Ville,15
Delle,Meroux,17
Besançon-Mouillère,Le Valdahon,43
Besançon-Mouillère,Morteau,82
Besançon-Viotte,Saint-Claude,148
Dole-Ville,Pontarlier,75
Andelot,Dole-Ville,41
Besançon-Viotte,Lyon-Perrache,176
Lyon-Part-Dieu,Mouchard,128
Besançon-Viotte,Lyon-Part-Dieu,159
Lyon-Perrache,Mouchard,139
Besançon-Viotte,Bourg-en-Bresse,118
Belfort-Ville,Lyon-Part-Dieu,230
Belfort-Ville,Bourg-en-Bresse,186
Belfort-Ville,Lyon-Perrache,244
Lons-le-Saunier,Lyon-Perrache,103
Belfort-Ville,Lons-le-Saunier,144
Besançon-Viotte,Lons-le-Saunier,89
Bourg-en-Bresse,Mouchard,81
