origin,destination,length
Montluçon-Ville,St-Gervais-Ch-LPA.,60
Neussargues,Riom_Es_M_la_Poste.,69
Clermont-Ferrand,St-Flour-les-Allées,93
Neussargues,St-Chély-d'Apcher,56
Neussargues,St-Flour-Chaudes-Aigues,31
St-Chély-d'Apcher,St-Flour-les-Allées,30
Massiac-Blesle,St-Chély-d'Apcher,49
Volvic,Pontgibaud-Ville,22
Brioude-Lycée-Lafayette,Brioude,5
Langeac,St-Georges-d'Aurac,10
Langeac,St-George-d'Aurac-Bourg,12
Brioude,Langeac,37
Brioude,Le Puy-en-Velay,64
Langeac,Le Puy-en-Velay,49
Le Puy-en-Velay,St-Georges-d'Aurac,53
Arvant,Le Puy-en-Velay,81
Le Puy-en-Velay,Saint-Etienne-Chtx GR,80
Le Puy-en-Velay,La Chaise-Dieu,47
Ambert,Le Puy-en-Velay,107
Ambert,Vichy,119
Pont-de-Dore,Vichy,66
Ussel,Laqueuille,39
Arvant,Issoire,46
Vic-le-Comte,Issoire-Lycée-Deville,30
Issoire,Le-Breuil-sur-Couze-Lyc,13
Brioude,Issoire,54
Clermont-Ferrand,Ussel,100
Luzy(Nièvre),Nevers,98
Cercy-la-Tour,Nevers,68
Autun,Etang,21
Autun,Le Creusot,49
Autun,Montchanin,62
Moulins-sur-Allier,Nevers,68
Nevers,St-Pierre-le-Moûtier,33
Moulins-sur-Allier,Paray-le-Monial,82
Chauffailles-Gambetta,Digoin,67
Digoin,Lozanne,133
Louhans,Seurre,48
Bourg-en-Bresse,Seurre,103
Auxerre-St-Gervais,Avallon,63
Auxerre-St-Gervais,Clamecy,76
Auxerre-St-Gervais,Corbigny,111
Clamecy,Corbigny,35
Lorient,Quimperlé,22
Châteaubriant,Janzé,57
Châteaubriant,Retiers,33
Dinan,Dol,30
Valençay,Luçay-le-Male,15
Romorantin-Blanc-Argent,Salbris,50
Faubourg-d'Orléans,Romorantin-Blanc-Argent,5
Faubourg-d'Orléans,Valençay,55
La Ferté-sur-Chiers,Sedan-Place-Calonne,59
Châlons-en-Champagne,Verdun,108
St-Dizier,Vitry-le-François,51
Joinville,St-Dizier,50
Chaumont,St-Dizier,123
Chaumont,Joinville,77
Chaumont,Langres-Gendarmerie,67
Chaumont,Troyes,100
Bar-sur-Aube,Juvancourt,32
Bar-sur-Aube,Troyes,98
Troyes,Vendeuvre (Aube),55
Bayel-Eglise,Juvancourt,18
Chaumont,Vendeuvre (Aube),60
Vendeuvre (Aube),Juvancourt,85
Chaumont,Ville-sous-La-Ferté,48
Bricon(la Poste),Chaumont,19
St-Florentin-Vergigny,Troyes,97
Laroche-Migennes,Troyes,130
Romilly-sur-Seine,Troyes,78
Troyes,Payns Abri Savières,26
Nogent-sur-Seine,Romilly-sur-Seine,35
Charleville-Mézières,Hirson,60
Fismes,Reims,58
Aillevillers,Belfort-Ville,102
Aillevillers,Lure,37
Besançon-Viotte,Morteau,88
Le Locle,Morteau,20
Le Valdahon,Morteau,54
Dole-Ville,Mouchard,47
Lons-le-Saunier,Mouchard,84
Mouchard,Poligny,28
Besançon-Viotte,Mouchard,58
Frasne,Pontarlier,30
Dompierre-Halte-Rout.,Pontarlier,21
Pontarlier,Les Granges-Narboz,10
Frasne,Jougne,56
Champagnole,Saint-Claude,87
Champagnole-PE-Victor,Dole-Ville,102
Andelot,Saint-Claude,107
Dole-Ville,Saint-Claude,204
Mouchard,Saint-Claude,124
Alès,Nîmes,50
La Bastide-St-Laurent,Langogne,25
Langogne,Mende,90
La Bastide-St-Laurent,Mende,68
Millau,Marvejols Place Chayla,75
Clermont-Ferrand,Mende,180
Le Puy-en-Velay,Marvejols,135
Mende,St-Chély-d'Apcher,84
La Bastide-St-Laurent,Marvejols,133
Mende,Marvejols Place Chayla,50
Carcassonne,Quillan,90
Carcassonne,Limoux,55
Limoux,Quillan,45
Bédarieux,Béziers,60
Guéret,Montluçon-Ville,66
Tulle,Ussel,89
Egletons,Tulle,40
Egletons,Meymac,25
Brive-la-Gaillarde,Egletons,63
Bort-les-Orgues,Ussel,35
Nancy-Ville,Mirecourt,74
Martigny-les-B-Thiebaut,Vézelise Beauregard,90
Damblain Eglise,Nancy-Ville,150
Contrexéville,Nancy-Ville,116
Contrexéville,Mirecourt,39
Vittel,Mirecourt,26
Nancy-Ville,Martigny-les-B-Thiebaut,133
Nancy-Ville,Vittel,92
Nancy-Ville,Mirecourt (Lycée Agric),71
Bening,Sarreguemines,34
Bitche-Quartier-Driant,Bening,71
Charmes (Vosges),Vittel,60
Charmes (Vosges),Mirecourt,30
Charmes (Vosges),Mirecourt (Lycée Agric),33
Igney (Centre),Sarrebourg-LP-Messmer,45
Sarrebourg,Igney (Centre),39
Longuyon,Longwy,32
Longuyon,Montmédy,39
Longuyon,Vezin-Carrefour,33
Morhange,Sarrebourg,94
Sarrebourg,Loudrefing,34
Morhange,Rémilly,48
Longuyon (Collège),Vezin-Carrefour,23
Sarrebourg,St-Jean-de-Bassel-Eglis,35
Nancy-Ville,Neufchâteau,62
Fénétrange (Gendarm.),Sarrebourg-Hôpital,42
Loudrefing,Sarrebourg-LP-Messmer,54
Sarrebourg (Place Math),St-Jean-de-Bassel-Eglis,24
Sarrebourg-LP-Messmer,St-Jean-de-Bassel-Eglis,31
Neufchâteau,Toul,45
Toul,Neufchateau-Lp,59
Nancy-Ville,Neufchateau-Lp,88
Allamps-Esat,Toul,30
Creutzwald G.R.,Thionville,110
Fénétrange (Gendarm.),Sarrebourg-LP-Messmer,30
St-Dié-des-Vosges,Laveline-d-Bruy. Mairie,64
Epinal,St-Dié-des-Vosges,65
Bruyères (Vosges),Epinal,43
Bruyères (Vosges),St-Dié-des-Vosges,48
Bouzonville,Thionville,67
Epinal,Laveline-d-Bruy. Mairie,52
Thionville,Kédange (Eglise),22
Thionville,Hombourg (Chapelle),26
Epinal,Saint-Léonard Centre,94
Corcieux Le Conti,Epinal,81
Arches,St-Dié-des-Vosges,85
Bruyères Chanzy Gare,Epinal,35
Arches,Epinal,20
Bruyères Chanzy Gare,St-Dié-des-Vosges,48
Thionville,Perl Gare DB,39
Sarreguemines,Sarre-Union,52
Herbitzheim R. Hambach,Sarre-Union,25
Sarreguemines,Sarralbe Centre,33
Loudrefing,Sarrebourg (Place Math),50
Herbitzheim Mairie,Sarre-Union,23
Sarrebourg,Sarreguemines,85
Fénétrange (Gendarm.),Sarrebourg-Abri-Phalsbo,33
Sarreguemines,Sarrebourg (Place Math),116
Berthelming-Mairie,Sarrebourg-Abri-Phalsbo,17
Metz-Ville,Nancy-Ville,105
Saverne,Sarralbe,64
Keskastel,Sarre-Union,11
Saverne,Sarre-Union,45
Bruyères (Vosges),Saint-Léonard Centre,39
Bar-le-Duc,Revigny,21
Charmes (Vosges),Epinal,40
Conflans-Jarny,Pagny-sur-Moselle,45
Figeac,Gramat,52
Mazamet,Toulouse-Matabiau,133
Muret,Pau,218
Pau,Toulouse-Matabiau,253
Agen,Castelsarrasin,56
Longages-Noé,St-Sulpice-sur-Lèze,11
Montréjeau-Gourdan-Pol.,Luchon-Richelieu,56
Ax-les-Thermes,Toulouse-Matabiau,145
Ax-les-Thermes,Foix,47
Ax-les-Thermes,Pamiers,83
Montréjeau-Gourdan-Pol.,Luchon,50
